Article ID,Jaccard,Cosine
1,0.364,0.631
2,0.389,0.589
3,0.392,0.674
4,0.487,0.674
5,0.404,0.668
6,0.458,0.729
7,0.485,0.781
8,0.327,0.654
9,0.38,0.702
10,0.324,0.487
11,0.45,0.726
12,0.265,0.448
13,0.358,0.588
14,0.553,0.743
15,0.309,0.746
16,0.194,0.525
17,0.338,0.708
18,0.405,0.716
19,0.333,0.616
20,0.268,0.506
21,0.304,0.686
22,0.274,0.575
23,0.22,0.427
24,0.409,0.649
25,0.341,0.597
26,0.34,0.653
27,0.278,0.514
28,0.344,0.521
29,0.373,0.541
30,0.379,0.621
31,0.326,0.653
32,0.362,0.579
33,0.268,0.51
34,0.331,0.616
35,0.319,0.516
36,0.267,0.522
37,0.361,0.582
38,0.206,0.491
39,0.313,0.629
40,0.356,0.629
41,0.265,0.485
42,0.24,0.524
43,0.423,0.74
44,0.202,0.544
45,0.351,0.677
46,0.324,0.548
47,0.203,0.531
48,0.247,0.459
49,0.423,0.643
50,0.315,0.521
51,0.464,0.713
52,0.432,0.693
53,0.433,0.67
54,0.245,0.451
55,0.275,0.649
56,0.322,0.573
57,0.37,0.662
58,0.383,0.677
59,0.288,0.479
60,0.376,0.661
61,0.241,0.512
62,0.182,0.435
63,0.212,0.416
64,0.251,0.461
65,0.264,0.513
66,0.241,0.62
67,0.311,0.535
68,0.321,0.531
69,0.178,0.356
70,0.373,0.647
71,0.287,0.696
72,0.312,0.645
73,0.281,0.599
74,0.416,0.62
75,0.273,0.634
76,0.368,0.588
77,0.197,0.434
78,0.304,0.704
79,0.443,0.73
80,0.413,0.61
81,0.486,0.773
82,0.24,0.514
83,0.444,0.669
84,0.37,0.634
85,0.272,0.564
86,0.305,0.621
87,0.365,0.672
88,0.371,0.73
89,0.199,0.698
90,0.346,0.593
91,0.5,0.783
92,0.345,0.749
93,0.353,0.649
94,0.293,0.529
95,0.438,0.718
96,0.301,0.533
97,0.25,0.394
98,0.331,0.665
99,0.354,0.545
100,0.329,0.625
