Article ID,Jaccard,Cosine
1,0.323,0.588
2,0.38,0.644
3,0.419,0.744
4,0.45,0.728
5,0.419,0.697
6,0.407,0.664
7,0.556,0.834
8,0.363,0.68
9,0.391,0.697
10,0.369,0.584
11,0.513,0.767
12,0.293,0.525
13,0.312,0.571
14,0.553,0.768
15,0.359,0.781
16,0.222,0.569
17,0.29,0.691
18,0.418,0.736
19,0.378,0.703
20,0.423,0.626
21,0.391,0.718
22,0.342,0.629
23,0.244,0.495
24,0.37,0.638
25,0.38,0.658
26,0.369,0.723
27,0.324,0.589
28,0.372,0.592
29,0.357,0.646
30,0.433,0.697
31,0.322,0.628
32,0.377,0.666
33,0.34,0.646
34,0.414,0.667
35,0.434,0.623
36,0.281,0.561
37,0.437,0.697
38,0.294,0.65
39,0.322,0.687
40,0.302,0.574
41,0.384,0.645
42,0.348,0.625
43,0.37,0.724
44,0.253,0.673
45,0.368,0.712
46,0.42,0.668
47,0.267,0.625
48,0.345,0.586
49,0.45,0.667
50,0.331,0.577
51,0.53,0.796
52,0.478,0.78
53,0.49,0.732
54,0.314,0.512
55,0.312,0.64
56,0.317,0.536
57,0.31,0.689
58,0.377,0.683
59,0.311,0.575
60,0.339,0.741
61,0.349,0.598
62,0.26,0.538
63,0.199,0.465
64,0.258,0.492
65,0.344,0.579
66,0.301,0.614
67,0.305,0.59
68,0.406,0.571
69,0.181,0.408
70,0.357,0.699
71,0.382,0.8
72,0.375,0.744
73,0.303,0.671
74,0.441,0.779
75,0.256,0.577
76,0.415,0.701
77,0.312,0.546
78,0.343,0.78
79,0.382,0.724
80,0.405,0.656
81,0.411,0.721
82,0.3,0.617
83,0.41,0.703
84,0.4,0.692
85,0.279,0.626
86,0.374,0.646
87,0.329,0.633
88,0.461,0.802
89,0.297,0.691
90,0.312,0.558
91,0.464,0.772
92,0.353,0.718
93,0.268,0.562
94,0.296,0.56
95,0.381,0.7
96,0.362,0.631
97,0.329,0.539
98,0.307,0.695
99,0.404,0.646
100,0.298,0.608
