Article ID,Jaccard,Cosine
1,0.284,0.643
2,0.283,0.554
3,0.335,0.691
4,0.412,0.624
5,0.279,0.572
6,0.32,0.655
7,0.326,0.725
8,0.17,0.469
9,0.405,0.72
10,0.295,0.564
11,0.428,0.717
12,0.23,0.449
13,0.226,0.54
14,0.592,0.797
15,0.22,0.682
16,0.115,0.578
17,0.34,0.675
18,0.353,0.642
19,0.45,0.737
20,0.178,0.591
21,0.197,0.65
22,0.187,0.546
23,0.133,0.349
24,0.302,0.626
25,0.309,0.601
26,0.271,0.609
27,0.32,0.573
28,0.256,0.396
29,0.195,0.508
30,0.258,0.587
31,0.342,0.551
32,0.178,0.507
33,0.126,0.587
34,0.254,0.504
35,0.262,0.593
36,0.156,0.455
37,0.23,0.542
38,0.166,0.503
39,0.176,0.627
40,0.324,0.592
41,0.145,0.402
42,0.149,0.574
43,0.344,0.717
44,0.125,0.589
45,0.273,0.649
46,0.299,0.637
47,0.102,0.537
48,0.136,0.372
49,0.488,0.71
50,0.185,0.539
51,0.364,0.677
52,0.359,0.729
53,0.335,0.342
54,0.149,0.542
55,0.22,0.629
56,0.234,0.496
57,0.176,0.578
58,0.218,0.423
59,0.214,0.524
60,0.187,0.591
61,0.242,0.592
62,0.089,0.496
63,0.131,0.455
64,0.109,0.439
65,0.114,0.464
66,0.129,0.435
67,0.135,0.358
68,0.108,0.589
69,0.119,0.236
70,0.235,0.626
71,0.117,0.636
72,0.242,0.629
73,0.219,0.597
74,0.313,0.649
75,0.262,0.602
76,0.289,0.67
77,0.113,0.491
78,0.338,0.695
79,0.394,0.695
80,0.422,0.677
81,0.46,0.749
82,0.25,0.55
83,0.443,0.721
84,0.305,0.686
85,0.273,0.643
86,0.117,0.519
87,0.223,0.605
88,0.227,0.625
89,0.169,0.715
90,0.218,0.528
91,0.503,0.771
92,0.347,0.759
93,0.216,0.627
94,0.296,0.584
95,0.511,0.768
96,0.263,0.525
97,0.161,0.463
98,0.326,0.728
99,0.305,0.546
100,0.228,0.641
