Article ID,Jaccard,Cosine
1,0.283,0.64
2,0.279,0.57
3,0.422,0.705
4,0.402,0.672
5,0.283,0.613
6,0.287,0.599
7,0.346,0.735
8,0.189,0.537
9,0.5,0.804
10,0.249,0.448
11,0.464,0.722
12,0.242,0.468
13,0.265,0.646
14,0.6,0.717
15,0.294,0.764
16,0.091,0.516
17,0.335,0.698
18,0.358,0.614
19,0.372,0.71
20,0.189,0.57
21,0.177,0.686
22,0.163,0.565
23,0.107,0.396
24,0.28,0.529
25,0.265,0.605
26,0.279,0.64
27,0.298,0.578
28,0.232,0.412
29,0.197,0.613
30,0.229,0.625
31,0.301,0.482
32,0.159,0.497
33,0.107,0.536
34,0.242,0.585
35,0.263,0.6
36,0.124,0.562
37,0.178,0.493
38,0.159,0.526
39,0.135,0.612
40,0.27,0.565
41,0.152,0.473
42,0.191,0.522
43,0.322,0.731
44,0.101,0.631
45,0.204,0.581
46,0.3,0.544
47,0.088,0.546
48,0.104,0.412
49,0.445,0.649
50,0.168,0.465
51,0.414,0.797
52,0.377,0.756
53,0.286,0.468
54,0.128,0.473
55,0.208,0.601
56,0.264,0.531
57,0.197,0.564
58,0.191,0.462
59,0.131,0.456
60,0.19,0.657
61,0.199,0.616
62,0.09,0.483
63,0.103,0.504
64,0.12,0.437
65,0.108,0.476
66,0.143,0.489
67,0.166,0.511
68,0.089,0.375
69,0.096,0.312
70,0.233,0.737
71,0.102,0.656
72,0.279,0.692
73,0.208,0.548
74,0.366,0.789
75,0.232,0.639
76,0.273,0.678
77,0.113,0.468
78,0.291,0.723
79,0.472,0.777
80,0.33,0.609
81,0.546,0.779
82,0.186,0.585
83,0.376,0.661
84,0.275,0.675
85,0.234,0.641
86,0.127,0.51
87,0.193,0.577
88,0.212,0.592
89,0.216,0.681
90,0.18,0.562
91,0.424,0.714
92,0.352,0.689
93,0.182,0.672
94,0.32,0.614
95,0.493,0.759
96,0.233,0.613
97,0.125,0.47
98,0.349,0.75
99,0.368,0.66
100,0.222,0.633
101,0.284,0.749
102,0.154,0.562
103,0.118,0.538
104,0.263,0.609
105,0.165,0.518
106,0.418,0.643
107,0.339,0.676
108,0.208,0.515
109,0.222,0.689
110,0.172,0.66
111,0.191,0.593
112,0.124,0.555
113,0.218,0.576
114,0.287,0.573
115,0.28,0.642
116,0.218,0.391
117,0.362,0.707
118,0.176,0.587
119,0.299,0.647
120,0.254,0.737
121,0.18,0.742
122,0.289,0.721
123,0.163,0.455
