Article ID,Jaccard,Cosine
1,0.386,0.614
2,0.303,0.6
3,0.377,0.684
4,0.392,0.639
5,0.334,0.64
6,0.335,0.649
7,0.316,0.702
8,0.176,0.521
9,0.472,0.773
10,0.266,0.473
11,0.45,0.73
12,0.255,0.499
13,0.266,0.579
14,0.491,0.674
15,0.248,0.718
16,0.137,0.546
17,0.31,0.657
18,0.425,0.642
19,0.402,0.743
20,0.184,0.587
21,0.171,0.594
22,0.163,0.496
23,0.129,0.295
24,0.31,0.604
25,0.333,0.556
26,0.265,0.574
27,0.342,0.607
28,0.217,0.396
29,0.228,0.548
30,0.24,0.605
31,0.332,0.543
32,0.167,0.505
33,0.127,0.57
34,0.307,0.623
35,0.317,0.664
36,0.136,0.495
37,0.225,0.546
38,0.159,0.52
39,0.159,0.619
40,0.28,0.539
41,0.178,0.467
42,0.164,0.497
43,0.335,0.675
44,0.112,0.675
45,0.308,0.632
46,0.284,0.639
47,0.1,0.593
48,0.12,0.415
49,0.424,0.655
50,0.174,0.51
51,0.371,0.71
52,0.351,0.702
53,0.331,0.368
54,0.149,0.508
55,0.196,0.543
56,0.295,0.515
57,0.192,0.613
58,0.224,0.514
59,0.217,0.516
60,0.19,0.64
61,0.196,0.565
62,0.092,0.452
63,0.151,0.497
64,0.096,0.47
65,0.127,0.453
66,0.142,0.404
67,0.161,0.434
68,0.129,0.677
69,0.123,0.323
70,0.245,0.648
71,0.126,0.664
72,0.287,0.719
73,0.232,0.593
74,0.31,0.703
75,0.283,0.602
76,0.273,0.692
77,0.141,0.47
78,0.312,0.739
79,0.389,0.695
80,0.3,0.531
81,0.404,0.715
82,0.27,0.614
83,0.386,0.721
84,0.323,0.71
85,0.332,0.709
86,0.145,0.457
87,0.21,0.631
88,0.244,0.571
89,0.199,0.697
90,0.225,0.611
91,0.497,0.786
92,0.375,0.674
93,0.19,0.564
94,0.309,0.592
95,0.51,0.738
96,0.275,0.6
97,0.146,0.482
98,0.338,0.683
99,0.323,0.545
100,0.271,0.66
