Article ID,Jaccard,Cosine
1,0.34,0.557
2,0.417,0.619
3,0.434,0.799
4,0.485,0.695
5,0.444,0.643
6,0.434,0.711
7,0.448,0.743
8,0.327,0.673
9,0.461,0.75
10,0.321,0.516
11,0.546,0.813
12,0.319,0.601
13,0.313,0.598
14,0.485,0.721
15,0.319,0.694
16,0.314,0.635
17,0.342,0.704
18,0.471,0.774
19,0.482,0.724
20,0.34,0.712
21,0.299,0.649
22,0.306,0.59
23,0.247,0.493
24,0.417,0.645
25,0.553,0.755
26,0.354,0.658
27,0.408,0.641
28,0.339,0.525
29,0.371,0.539
30,0.473,0.698
31,0.329,0.625
32,0.373,0.611
33,0.321,0.62
34,0.396,0.648
35,0.405,0.661
36,0.295,0.622
37,0.422,0.656
38,0.266,0.57
39,0.35,0.712
40,0.39,0.639
41,0.293,0.547
42,0.287,0.568
43,0.425,0.718
44,0.273,0.636
45,0.416,0.728
46,0.342,0.615
47,0.277,0.633
48,0.327,0.612
49,0.403,0.641
50,0.345,0.569
51,0.418,0.657
52,0.485,0.725
53,0.463,0.725
54,0.264,0.491
55,0.272,0.564
56,0.331,0.551
57,0.355,0.693
58,0.389,0.672
59,0.352,0.563
60,0.333,0.667
61,0.296,0.475
62,0.199,0.437
63,0.266,0.481
64,0.218,0.439
65,0.299,0.557
66,0.28,0.612
67,0.261,0.503
68,0.365,0.674
69,0.222,0.418
70,0.441,0.703
71,0.3,0.719
72,0.331,0.675
73,0.311,0.665
74,0.368,0.587
75,0.408,0.643
76,0.327,0.706
77,0.212,0.453
78,0.306,0.715
79,0.364,0.674
80,0.385,0.574
81,0.469,0.776
82,0.344,0.591
83,0.451,0.7
84,0.396,0.696
85,0.412,0.727
86,0.317,0.572
87,0.35,0.592
88,0.333,0.672
89,0.239,0.727
90,0.343,0.58
91,0.471,0.772
92,0.357,0.686
93,0.283,0.507
94,0.329,0.54
95,0.531,0.767
96,0.377,0.61
97,0.376,0.532
98,0.386,0.681
99,0.344,0.58
100,0.337,0.664
